symbol;currency_group;currency_base;currency_quote
"AED/ARS";"Exotic-Cross";"UAE Dirham";"Argentinian Peso"
"AED/AUD";"Exotic-Cross";"UAE Dirham";"Australian Dollar"
"AED/BBD";"Exotic-Cross";"UAE Dirham";"Barbadian Dollar"
"AED/BHD";"Exotic-Cross";"UAE Dirham";"Baharain Dinar"
"AED/BRL";"Exotic-Cross";"UAE Dirham";"Brazil Real"
"AED/CAD";"Exotic-Cross";"UAE Dirham";"Canadian Dollar"
"AED/CHF";"Exotic-Cross";"UAE Dirham";"Swiss Franc"
"AED/CLP";"Exotic-Cross";"UAE Dirham";"Chilean Peso"
"AED/CNY";"Exotic-Cross";"UAE Dirham";"Chinese Yuan"
"AED/CZK";"Exotic-Cross";"UAE Dirham";"Czech Koruna"
"AED/DKK";"Exotic-Cross";"UAE Dirham";"Danish Krone"
"AED/EGP";"Exotic-Cross";"UAE Dirham";"Egyptian Pound"
"AED/EUR";"Exotic-Cross";"UAE Dirham";"Euro"
"AED/GBP";"Exotic-Cross";"UAE Dirham";"British Pound"
"AED/HKD";"Exotic-Cross";"UAE Dirham";"Hong Kong Dollar"
"AED/HUF";"Exotic-Cross";"UAE Dirham";"Hungarian Forint"
"AED/IDR";"Exotic-Cross";"UAE Dirham";"Indonesian Rupiah"
"AED/ILS";"Exotic-Cross";"UAE Dirham";"Israeli Shekel"
"AED/INR";"Exotic-Cross";"UAE Dirham";"Indian Rupee"
"AED/ISK";"Exotic-Cross";"UAE Dirham";"Icelandic Krona"
"AED/JMD";"Exotic-Cross";"UAE Dirham";"Jamaican Dollar"
"AED/JOD";"Exotic-Cross";"UAE Dirham";"Jordan Dinar"
"AED/JPY";"Exotic-Cross";"UAE Dirham";"Japanese Yen"
"AED/KES";"Exotic-Cross";"UAE Dirham";"Kenyan Shilling"
"AED/KRW";"Exotic-Cross";"UAE Dirham";"Korean Won"
"AED/KWD";"Exotic-Cross";"UAE Dirham";"Kuwaiti Dinar"
"AED/LBP";"Exotic-Cross";"UAE Dirham";"Lebanese Pound"
"AED/LKR";"Exotic-Cross";"UAE Dirham";"Sri Lankan Rupee"
"AED/MAD";"Exotic-Cross";"UAE Dirham";"Moroccan Dirham"
"AED/MXN";"Exotic-Cross";"UAE Dirham";"Mexican Peso"
"AED/MYR";"Exotic-Cross";"UAE Dirham";"Malaysian Ringgit"
"AED/NAD";"Exotic-Cross";"UAE Dirham";"Namibian Dollar"
"AED/NOK";"Exotic-Cross";"UAE Dirham";"Norwegian Krone"
"AED/NPR";"Exotic-Cross";"UAE Dirham";"Nepalese Rupee"
"AED/NZD";"Exotic-Cross";"UAE Dirham";"New Zealand Dollar"
"AED/OMR";"Exotic-Cross";"UAE Dirham";"Omani Rial"
"AED/PAB";"Exotic-Cross";"UAE Dirham";"Panamanian Balboa"
"AED/PHP";"Exotic-Cross";"UAE Dirham";"Philippine Peso"
"AED/PKR";"Exotic-Cross";"UAE Dirham";"Pakistani Rupee"
"AED/PLN";"Exotic-Cross";"UAE Dirham";"Polish Zloty"
"AED/QAR";"Exotic-Cross";"UAE Dirham";"Qatari Riyal"
"AED/RON";"Exotic-Cross";"UAE Dirham";"Romanian Leu"
"AED/RUB";"Exotic-Cross";"UAE Dirham";"Russian Ruble"
"AED/SAR";"Exotic-Cross";"UAE Dirham";"Saudi Riyal"
"AED/SEK";"Exotic-Cross";"UAE Dirham";"Swedish Krona"
"AED/SGD";"Exotic-Cross";"UAE Dirham";"Singapore Dollar"
"AED/THB";"Exotic-Cross";"UAE Dirham";"Thai Baht"
"AED/TRY";"Exotic-Cross";"UAE Dirham";"Turkish Lira"
"AED/TWD";"Exotic-Cross";"UAE Dirham";"Taiwan Dollar"
"AED/USD";"Exotic";"UAE Dirham";"US Dollar"
"AED/VEF";"Exotic-Cross";"UAE Dirham";"Venezuelan Bolivar"
"AED/XAF";"Exotic-Cross";"UAE Dirham";"Central African CFA franc"
"AED/XCD";"Exotic-Cross";"UAE Dirham";"East Caribbean Dollar"
"AED/XOF";"Exotic-Cross";"UAE Dirham";"West African CFA franc"
"AED/ZAR";"Exotic-Cross";"UAE Dirham";"South African Rand"
"AFN/USD";"Minor";"Afghanistan Afghani";"US Dollar"
"ARS/AED";"Exotic-Cross";"Argentinian Peso";"UAE Dirham"
"ARS/AUD";"Exotic-Cross";"Argentinian Peso";"Australian Dollar"
"ARS/BBD";"Exotic-Cross";"Argentinian Peso";"Barbadian Dollar"
"ARS/BHD";"Exotic-Cross";"Argentinian Peso";"Baharain Dinar"
"ARS/BOB";"Exotic-Cross";"Argentinian Peso";"Bolivian Boliviano"
"ARS/BRL";"Exotic-Cross";"Argentinian Peso";"Brazil Real"
"ARS/CAD";"Exotic-Cross";"Argentinian Peso";"Canadian Dollar"
"ARS/CHF";"Exotic-Cross";"Argentinian Peso";"Swiss Franc"
"ARS/CLP";"Exotic-Cross";"Argentinian Peso";"Chilean Peso"
"ARS/CNY";"Exotic-Cross";"Argentinian Peso";"Chinese Yuan"
"ARS/COP";"Exotic-Cross";"Argentinian Peso";"Colombian Peso"
"ARS/CZK";"Exotic-Cross";"Argentinian Peso";"Czech Koruna"
"ARS/DKK";"Exotic-Cross";"Argentinian Peso";"Danish Krone"
"ARS/EGP";"Exotic-Cross";"Argentinian Peso";"Egyptian Pound"
"ARS/EUR";"Exotic-Cross";"Argentinian Peso";"Euro"
"ARS/GBP";"Exotic-Cross";"Argentinian Peso";"British Pound"
"ARS/HKD";"Exotic-Cross";"Argentinian Peso";"Hong Kong Dollar"
"ARS/HUF";"Exotic-Cross";"Argentinian Peso";"Hungarian Forint"
"ARS/IDR";"Exotic-Cross";"Argentinian Peso";"Indonesian Rupiah"
"ARS/ILS";"Exotic-Cross";"Argentinian Peso";"Israeli Shekel"
"ARS/INR";"Exotic-Cross";"Argentinian Peso";"Indian Rupee"
"ARS/ISK";"Exotic-Cross";"Argentinian Peso";"Icelandic Krona"
"ARS/JMD";"Exotic-Cross";"Argentinian Peso";"Jamaican Dollar"
"ARS/JOD";"Exotic-Cross";"Argentinian Peso";"Jordan Dinar"
"ARS/JPY";"Exotic-Cross";"Argentinian Peso";"Japanese Yen"
"ARS/KES";"Exotic-Cross";"Argentinian Peso";"Kenyan Shilling"
"ARS/KRW";"Exotic-Cross";"Argentinian Peso";"Korean Won"
"ARS/LBP";"Exotic-Cross";"Argentinian Peso";"Lebanese Pound"
"ARS/LKR";"Exotic-Cross";"Argentinian Peso";"Sri Lankan Rupee"
"ARS/MAD";"Exotic-Cross";"Argentinian Peso";"Moroccan Dirham"
"ARS/MXN";"Exotic-Cross";"Argentinian Peso";"Mexican Peso"
"ARS/MYR";"Exotic-Cross";"Argentinian Peso";"Malaysian Ringgit"
"ARS/NAD";"Exotic-Cross";"Argentinian Peso";"Namibian Dollar"
"ARS/NOK";"Exotic-Cross";"Argentinian Peso";"Norwegian Krone"
"ARS/NPR";"Exotic-Cross";"Argentinian Peso";"Nepalese Rupee"
"ARS/NZD";"Exotic-Cross";"Argentinian Peso";"New Zealand Dollar"
"ARS/OMR";"Exotic-Cross";"Argentinian Peso";"Omani Rial"
"ARS/PAB";"Exotic-Cross";"Argentinian Peso";"Panamanian Balboa"
"ARS/PEN";"Exotic-Cross";"Argentinian Peso";"Peru Sol"
"ARS/PHP";"Exotic-Cross";"Argentinian Peso";"Philippine Peso"
"ARS/PKR";"Exotic-Cross";"Argentinian Peso";"Pakistani Rupee"
"ARS/PLN";"Exotic-Cross";"Argentinian Peso";"Polish Zloty"
"ARS/PYG";"Exotic-Cross";"Argentinian Peso";"Paraguayan Guarani"
"ARS/QAR";"Exotic-Cross";"Argentinian Peso";"Qatari Riyal"
"ARS/RON";"Exotic-Cross";"Argentinian Peso";"Romanian Leu"
"ARS/RUB";"Exotic-Cross";"Argentinian Peso";"Russian Ruble"
"ARS/SAR";"Exotic-Cross";"Argentinian Peso";"Saudi Riyal"
"ARS/SEK";"Exotic-Cross";"Argentinian Peso";"Swedish Krona"
"ARS/SGD";"Exotic-Cross";"Argentinian Peso";"Singapore Dollar"
"ARS/THB";"Exotic-Cross";"Argentinian Peso";"Thai Baht"
"ARS/TRY";"Exotic-Cross";"Argentinian Peso";"Turkish Lira"
"ARS/TWD";"Exotic-Cross";"Argentinian Peso";"Taiwan Dollar"
"ARS/USD";"Exotic";"Argentinian Peso";"US Dollar"
"ARS/UYU";"Exotic-Cross";"Argentinian Peso";"Uruguayan Peso"
"ARS/VEF";"Exotic-Cross";"Argentinian Peso";"Venezuelan Bolivar"
"ARS/XAF";"Exotic-Cross";"Argentinian Peso";"Central African CFA franc"
"ARS/XCD";"Exotic-Cross";"Argentinian Peso";"East Caribbean Dollar"
"ARS/XOF";"Exotic-Cross";"Argentinian Peso";"West African CFA franc"
"ARS/ZAR";"Exotic-Cross";"Argentinian Peso";"South African Rand"
"AUD/AED";"Exotic-Cross";"Australian Dollar";"UAE Dirham"
"AUD/ARS";"Exotic-Cross";"Australian Dollar";"Argentinian Peso"
"AUD/BBD";"Exotic-Cross";"Australian Dollar";"Barbadian Dollar"
"AUD/BHD";"Exotic-Cross";"Australian Dollar";"Baharain Dinar"
"AUD/BRL";"Exotic-Cross";"Australian Dollar";"Brazil Real"
"AUD/BYN";"Exotic-Cross";"Australian Dollar";"Belarusian Ruble"
"AUD/CAD";"Minor";"Australian Dollar";"Canadian Dollar"
"AUD/CHF";"Minor";"Australian Dollar";"Swiss Franc"
"AUD/CLP";"Exotic-Cross";"Australian Dollar";"Chilean Peso"
"AUD/CNY";"Exotic-Cross";"Australian Dollar";"Chinese Yuan"
"AUD/CZK";"Exotic-Cross";"Australian Dollar";"Czech Koruna"
"AUD/DKK";"Exotic-Cross";"Australian Dollar";"Danish Krone"
"AUD/EGP";"Exotic-Cross";"Australian Dollar";"Egyptian Pound"
"AUD/EUR";"Minor";"Australian Dollar";"Euro"
"AUD/FJD";"Exotic-Cross";"Australian Dollar";"Fiji Dollar"
"AUD/GBP";"Minor";"Australian Dollar";"British Pound"
"AUD/HKD";"Exotic-Cross";"Australian Dollar";"Hong Kong Dollar"
"AUD/HRK";"Exotic-Cross";"Australian Dollar";"Croatian Kuna"
"AUD/HUF";"Exotic-Cross";"Australian Dollar";"Hungarian Forint"
"AUD/IDR";"Exotic-Cross";"Australian Dollar";"Indonesian Rupiah"
"AUD/ILS";"Exotic-Cross";"Australian Dollar";"Israeli Shekel"
"AUD/INR";"Exotic-Cross";"Australian Dollar";"Indian Rupee"
"AUD/ISK";"Exotic-Cross";"Australian Dollar";"Icelandic Krona"
"AUD/JMD";"Exotic-Cross";"Australian Dollar";"Jamaican Dollar"
"AUD/JOD";"Exotic-Cross";"Australian Dollar";"Jordan Dinar"
"AUD/JPY";"Minor";"Australian Dollar";"Japanese Yen"
"AUD/KES";"Exotic-Cross";"Australian Dollar";"Kenyan Shilling"
"AUD/KRW";"Exotic-Cross";"Australian Dollar";"Korean Won"
"AUD/LBP";"Exotic-Cross";"Australian Dollar";"Lebanese Pound"
"AUD/LKR";"Exotic-Cross";"Australian Dollar";"Sri Lankan Rupee"
"AUD/MAD";"Exotic-Cross";"Australian Dollar";"Moroccan Dirham"
"AUD/MXN";"Exotic-Cross";"Australian Dollar";"Mexican Peso"
"AUD/MYR";"Exotic-Cross";"Australian Dollar";"Malaysian Ringgit"
"AUD/NAD";"Exotic-Cross";"Australian Dollar";"Namibian Dollar"
"AUD/NOK";"Exotic-Cross";"Australian Dollar";"Norwegian Krone"
"AUD/NPR";"Exotic-Cross";"Australian Dollar";"Nepalese Rupee"
"AUD/NZD";"Minor";"Australian Dollar";"New Zealand Dollar"
"AUD/OMR";"Exotic-Cross";"Australian Dollar";"Omani Rial"
"AUD/PAB";"Exotic-Cross";"Australian Dollar";"Panamanian Balboa"
"AUD/PHP";"Exotic-Cross";"Australian Dollar";"Philippine Peso"
"AUD/PKR";"Exotic-Cross";"Australian Dollar";"Pakistani Rupee"
"AUD/PLN";"Exotic-Cross";"Australian Dollar";"Polish Zloty"
"AUD/QAR";"Exotic-Cross";"Australian Dollar";"Qatari Riyal"
"AUD/RON";"Exotic-Cross";"Australian Dollar";"Romanian Leu"
"AUD/RUB";"Exotic-Cross";"Australian Dollar";"Russian Ruble"
"AUD/SAR";"Exotic-Cross";"Australian Dollar";"Saudi Riyal"
"AUD/SEK";"Exotic-Cross";"Australian Dollar";"Swedish Krona"
"AUD/SGD";"Exotic-Cross";"Australian Dollar";"Singapore Dollar"
"AUD/THB";"Exotic-Cross";"Australian Dollar";"Thai Baht"
"AUD/TRY";"Exotic-Cross";"Australian Dollar";"Turkish Lira"
"AUD/TWD";"Exotic-Cross";"Australian Dollar";"Taiwan Dollar"
"AUD/UAH";"Exotic-Cross";"Australian Dollar";"Ukrainian Hryvnia"
"AUD/USD";"Major";"Australian Dollar";"US Dollar"
"AUD/VEF";"Exotic-Cross";"Australian Dollar";"Venezuelan Bolivar"
"AUD/XAF";"Exotic-Cross";"Australian Dollar";"Central African CFA franc"
"AUD/XCD";"Exotic-Cross";"Australian Dollar";"East Caribbean Dollar"
"AUD/XOF";"Exotic-Cross";"Australian Dollar";"West African CFA franc"
"AUD/ZAR";"Exotic-Cross";"Australian Dollar";"South African Rand"
"AZN/RUB";"Minor";"Azerbaijani Manat";"Russian Ruble"
"BGN/RUB";"Minor";"Bulgarian Lev";"Russian Ruble"
"BHD/EUR";"Exotic-Cross";"Baharain Dinar";"Euro"
"BHD/INR";"Minor";"Baharain Dinar";"Indian Rupee"
"BHD/PKR";"Exotic-Cross";"Baharain Dinar";"Pakistani Rupee"
"BND/GBP";"Exotic-Cross";"Brunei Dollar";"British Pound"
"BOB/ARS";"Exotic-Cross";"Bolivian Boliviano";"Argentinian Peso"
"BOB/BRL";"Exotic-Cross";"Bolivian Boliviano";"Brazil Real"
"BOB/CLP";"Exotic-Cross";"Bolivian Boliviano";"Chilean Peso"
"BOB/COP";"Exotic-Cross";"Bolivian Boliviano";"Colombian Peso"
"BOB/MXN";"Exotic-Cross";"Bolivian Boliviano";"Mexican Peso"
"BOB/PEN";"Exotic-Cross";"Bolivian Boliviano";"Peru Sol"
"BOB/PYG";"Exotic-Cross";"Bolivian Boliviano";"Paraguayan Guarani"
"BOB/USD";"Exotic";"Bolivian Boliviano";"US Dollar"
"BOB/UYU";"Exotic-Cross";"Bolivian Boliviano";"Uruguayan Peso"
"BOB/VEF";"Exotic-Cross";"Bolivian Boliviano";"Venezuelan Bolivar"
"BRL/AED";"Exotic-Cross";"Brazil Real";"UAE Dirham"
"BRL/ARS";"Exotic-Cross";"Brazil Real";"Argentinian Peso"
"BRL/AUD";"Exotic-Cross";"Brazil Real";"Australian Dollar"
"BRL/BBD";"Exotic-Cross";"Brazil Real";"Barbadian Dollar"
"BRL/BHD";"Exotic-Cross";"Brazil Real";"Baharain Dinar"
"BRL/BOB";"Exotic-Cross";"Brazil Real";"Bolivian Boliviano"
"BRL/CAD";"Exotic-Cross";"Brazil Real";"Canadian Dollar"
"BRL/CHF";"Exotic-Cross";"Brazil Real";"Swiss Franc"
"BRL/CLP";"Exotic-Cross";"Brazil Real";"Chilean Peso"
"BRL/CNY";"Exotic-Cross";"Brazil Real";"Chinese Yuan"
"BRL/COP";"Exotic-Cross";"Brazil Real";"Colombian Peso"
"BRL/CZK";"Exotic-Cross";"Brazil Real";"Czech Koruna"
"BRL/DKK";"Exotic-Cross";"Brazil Real";"Danish Krone"
"BRL/EGP";"Exotic-Cross";"Brazil Real";"Egyptian Pound"
"BRL/EUR";"Exotic-Cross";"Brazil Real";"Euro"
"BRL/GBP";"Exotic-Cross";"Brazil Real";"British Pound"
"BRL/HKD";"Exotic-Cross";"Brazil Real";"Hong Kong Dollar"
"BRL/HUF";"Exotic-Cross";"Brazil Real";"Hungarian Forint"
"BRL/IDR";"Exotic-Cross";"Brazil Real";"Indonesian Rupiah"
"BRL/ILS";"Exotic-Cross";"Brazil Real";"Israeli Shekel"
"BRL/INR";"Exotic-Cross";"Brazil Real";"Indian Rupee"
"BRL/ISK";"Exotic-Cross";"Brazil Real";"Icelandic Krona"
"BRL/JMD";"Exotic-Cross";"Brazil Real";"Jamaican Dollar"
"BRL/JOD";"Exotic-Cross";"Brazil Real";"Jordan Dinar"
"BRL/JPY";"Exotic-Cross";"Brazil Real";"Japanese Yen"
"BRL/KES";"Exotic-Cross";"Brazil Real";"Kenyan Shilling"
"BRL/KRW";"Exotic-Cross";"Brazil Real";"Korean Won"
"BRL/LBP";"Exotic-Cross";"Brazil Real";"Lebanese Pound"
"BRL/LKR";"Exotic-Cross";"Brazil Real";"Sri Lankan Rupee"
"BRL/MAD";"Exotic-Cross";"Brazil Real";"Moroccan Dirham"
"BRL/MXN";"Exotic-Cross";"Brazil Real";"Mexican Peso"
"BRL/MYR";"Exotic-Cross";"Brazil Real";"Malaysian Ringgit"
"BRL/NAD";"Exotic-Cross";"Brazil Real";"Namibian Dollar"
"BRL/NOK";"Exotic-Cross";"Brazil Real";"Norwegian Krone"
"BRL/NPR";"Exotic-Cross";"Brazil Real";"Nepalese Rupee"
"BRL/NZD";"Exotic-Cross";"Brazil Real";"New Zealand Dollar"
"BRL/OMR";"Exotic-Cross";"Brazil Real";"Omani Rial"
"BRL/PAB";"Exotic-Cross";"Brazil Real";"Panamanian Balboa"
"BRL/PEN";"Exotic-Cross";"Brazil Real";"Peru Sol"
"BRL/PHP";"Exotic-Cross";"Brazil Real";"Philippine Peso"
"BRL/PKR";"Exotic-Cross";"Brazil Real";"Pakistani Rupee"
"BRL/PLN";"Exotic-Cross";"Brazil Real";"Polish Zloty"
"BRL/PYG";"Exotic-Cross";"Brazil Real";"Paraguayan Guarani"
"BRL/QAR";"Exotic-Cross";"Brazil Real";"Qatari Riyal"
"BRL/RON";"Exotic-Cross";"Brazil Real";"Romanian Leu"
"BRL/RUB";"Exotic-Cross";"Brazil Real";"Russian Ruble"
"BRL/SAR";"Exotic-Cross";"Brazil Real";"Saudi Riyal"
"BRL/SEK";"Exotic-Cross";"Brazil Real";"Swedish Krona"
"BRL/SGD";"Exotic-Cross";"Brazil Real";"Singapore Dollar"
"BRL/THB";"Exotic-Cross";"Brazil Real";"Thai Baht"
"BRL/TRY";"Exotic-Cross";"Brazil Real";"Turkish Lira"
"BRL/TWD";"Exotic-Cross";"Brazil Real";"Taiwan Dollar"
"BRL/USD";"Exotic";"Brazil Real";"US Dollar"
"BRL/UYU";"Exotic-Cross";"Brazil Real";"Uruguayan Peso"
"BRL/VEF";"Exotic-Cross";"Brazil Real";"Venezuelan Bolivar"
"BRL/XAF";"Exotic-Cross";"Brazil Real";"Central African CFA franc"
"BRL/XCD";"Exotic-Cross";"Brazil Real";"East Caribbean Dollar"
"BRL/XOF";"Exotic-Cross";"Brazil Real";"West African CFA franc"
"BRL/ZAR";"Exotic-Cross";"Brazil Real";"South African Rand"
"BSD/GBP";"Exotic-Cross";"Bahamas Dollar";"British Pound"
"BWP/ZAR";"Exotic-Cross";"Botswana Pula";"South African Rand"
"BYN/EUR";"Minor";"Belarusian Ruble";"Euro"
"BYN/RUB";"Minor";"Belarusian Ruble";"Russian Ruble"
"BYN/USD";"Minor";"Belarusian Ruble";"US Dollar"
"CAD/AED";"Exotic-Cross";"Canadian Dollar";"UAE Dirham"
"CAD/ARS";"Exotic-Cross";"Canadian Dollar";"Argentinian Peso"
"CAD/AUD";"Minor";"Canadian Dollar";"Australian Dollar"
"CAD/BBD";"Exotic-Cross";"Canadian Dollar";"Barbadian Dollar"
"CAD/BHD";"Exotic-Cross";"Canadian Dollar";"Baharain Dinar"
"CAD/BRL";"Exotic-Cross";"Canadian Dollar";"Brazil Real"
"CAD/BYN";"Exotic-Cross";"Canadian Dollar";"Belarusian Ruble"
"CAD/CHF";"Minor";"Canadian Dollar";"Swiss Franc"
"CAD/CLP";"Exotic-Cross";"Canadian Dollar";"Chilean Peso"
"CAD/CNY";"Exotic-Cross";"Canadian Dollar";"Chinese Yuan"
"CAD/COP";"Minor";"Canadian Dollar";"Colombian Peso"
"CAD/CZK";"Exotic-Cross";"Canadian Dollar";"Czech Koruna"
"CAD/DKK";"Exotic-Cross";"Canadian Dollar";"Danish Krone"
"CAD/EGP";"Exotic-Cross";"Canadian Dollar";"Egyptian Pound"
"CAD/EUR";"Minor";"Canadian Dollar";"Euro"
"CAD/GBP";"Minor";"Canadian Dollar";"British Pound"
"CAD/HKD";"Exotic-Cross";"Canadian Dollar";"Hong Kong Dollar"
"CAD/HUF";"Exotic-Cross";"Canadian Dollar";"Hungarian Forint"
"CAD/IDR";"Exotic-Cross";"Canadian Dollar";"Indonesian Rupiah"
"CAD/ILS";"Exotic-Cross";"Canadian Dollar";"Israeli Shekel"
"CAD/INR";"Exotic-Cross";"Canadian Dollar";"Indian Rupee"
"CAD/ISK";"Exotic-Cross";"Canadian Dollar";"Icelandic Krona"
"CAD/JMD";"Exotic-Cross";"Canadian Dollar";"Jamaican Dollar"
"CAD/JOD";"Exotic-Cross";"Canadian Dollar";"Jordan Dinar"
"CAD/JPY";"Minor";"Canadian Dollar";"Japanese Yen"
"CAD/KES";"Exotic-Cross";"Canadian Dollar";"Kenyan Shilling"
"CAD/KRW";"Exotic-Cross";"Canadian Dollar";"Korean Won"
"CAD/KWD";"Exotic-Cross";"Canadian Dollar";"Kuwaiti Dinar"
"CAD/LBP";"Exotic-Cross";"Canadian Dollar";"Lebanese Pound"
"CAD/LKR";"Exotic-Cross";"Canadian Dollar";"Sri Lankan Rupee"
"CAD/MAD";"Exotic-Cross";"Canadian Dollar";"Moroccan Dirham"
"CAD/MXN";"Exotic-Cross";"Canadian Dollar";"Mexican Peso"
"CAD/MYR";"Exotic-Cross";"Canadian Dollar";"Malaysian Ringgit"
"CAD/NAD";"Exotic-Cross";"Canadian Dollar";"Namibian Dollar"
"CAD/NOK";"Exotic-Cross";"Canadian Dollar";"Norwegian Krone"
"CAD/NPR";"Exotic-Cross";"Canadian Dollar";"Nepalese Rupee"
"CAD/NZD";"Minor";"Canadian Dollar";"New Zealand Dollar"
"CAD/OMR";"Exotic-Cross";"Canadian Dollar";"Omani Rial"
"CAD/PAB";"Exotic-Cross";"Canadian Dollar";"Panamanian Balboa"
"CAD/PHP";"Exotic-Cross";"Canadian Dollar";"Philippine Peso"
"CAD/PKR";"Exotic-Cross";"Canadian Dollar";"Pakistani Rupee"
"CAD/PLN";"Exotic-Cross";"Canadian Dollar";"Polish Zloty"
"CAD/QAR";"Exotic-Cross";"Canadian Dollar";"Qatari Riyal"
"CAD/RON";"Exotic-Cross";"Canadian Dollar";"Romanian Leu"
"CAD/RUB";"Exotic-Cross";"Canadian Dollar";"Russian Ruble"
"CAD/SAR";"Exotic-Cross";"Canadian Dollar";"Saudi Riyal"
"CAD/SEK";"Exotic-Cross";"Canadian Dollar";"Swedish Krona"
"CAD/SGD";"Exotic-Cross";"Canadian Dollar";"Singapore Dollar"
"CAD/THB";"Exotic-Cross";"Canadian Dollar";"Thai Baht"
"CAD/TRY";"Exotic-Cross";"Canadian Dollar";"Turkish Lira"
"CAD/TWD";"Exotic-Cross";"Canadian Dollar";"Taiwan Dollar"
"CAD/UAH";"Exotic-Cross";"Canadian Dollar";"Ukrainian Hryvnia"
"CAD/USD";"Major";"Canadian Dollar";"US Dollar"
"CAD/VEF";"Exotic-Cross";"Canadian Dollar";"Venezuelan Bolivar"
"CAD/XAF";"Exotic-Cross";"Canadian Dollar";"Central African CFA franc"
"CAD/XCD";"Exotic-Cross";"Canadian Dollar";"East Caribbean Dollar"
"CAD/XOF";"Exotic-Cross";"Canadian Dollar";"West African CFA franc"
"CAD/ZAR";"Exotic-Cross";"Canadian Dollar";"South African Rand"
"CHF/AED";"Exotic-Cross";"Swiss Franc";"UAE Dirham"
"CHF/ARS";"Exotic-Cross";"Swiss Franc";"Argentinian Peso"
"CHF/AUD";"Minor";"Swiss Franc";"Australian Dollar"
"CHF/BBD";"Exotic-Cross";"Swiss Franc";"Barbadian Dollar"
"CHF/BGN";"Exotic-Cross";"Swiss Franc";"Bulgarian Lev"
"CHF/BHD";"Exotic-Cross";"Swiss Franc";"Baharain Dinar"
"CHF/BRL";"Exotic-Cross";"Swiss Franc";"Brazil Real"
"CHF/BYN";"Exotic-Cross";"Swiss Franc";"Belarusian Ruble"
"CHF/CAD";"Minor";"Swiss Franc";"Canadian Dollar"
"CHF/CLP";"Exotic-Cross";"Swiss Franc";"Chilean Peso"
"CHF/CNY";"Exotic-Cross";"Swiss Franc";"Chinese Yuan"
"CHF/CZK";"Exotic-Cross";"Swiss Franc";"Czech Koruna"
"CHF/DKK";"Exotic-Cross";"Swiss Franc";"Danish Krone"
"CHF/EGP";"Exotic-Cross";"Swiss Franc";"Egyptian Pound"
"CHF/EUR";"Minor";"Swiss Franc";"Euro"
"CHF/GBP";"Minor";"Swiss Franc";"British Pound"
"CHF/HKD";"Exotic-Cross";"Swiss Franc";"Hong Kong Dollar"
"CHF/HUF";"Exotic-Cross";"Swiss Franc";"Hungarian Forint"
"CHF/IDR";"Exotic-Cross";"Swiss Franc";"Indonesian Rupiah"
"CHF/ILS";"Exotic-Cross";"Swiss Franc";"Israeli Shekel"
"CHF/INR";"Exotic-Cross";"Swiss Franc";"Indian Rupee"
"CHF/ISK";"Exotic-Cross";"Swiss Franc";"Icelandic Krona"
"CHF/JMD";"Exotic-Cross";"Swiss Franc";"Jamaican Dollar"
"CHF/JOD";"Exotic-Cross";"Swiss Franc";"Jordan Dinar"
"CHF/JPY";"Minor";"Swiss Franc";"Japanese Yen"
"CHF/KES";"Exotic-Cross";"Swiss Franc";"Kenyan Shilling"
"CHF/KRW";"Exotic-Cross";"Swiss Franc";"Korean Won"
"CHF/LBP";"Exotic-Cross";"Swiss Franc";"Lebanese Pound"
"CHF/LKR";"Exotic-Cross";"Swiss Franc";"Sri Lankan Rupee"
"CHF/MAD";"Exotic-Cross";"Swiss Franc";"Moroccan Dirham"
"CHF/MXN";"Exotic-Cross";"Swiss Franc";"Mexican Peso"
"CHF/MYR";"Exotic-Cross";"Swiss Franc";"Malaysian Ringgit"
"CHF/NAD";"Exotic-Cross";"Swiss Franc";"Namibian Dollar"
"CHF/NOK";"Exotic-Cross";"Swiss Franc";"Norwegian Krone"
"CHF/NPR";"Exotic-Cross";"Swiss Franc";"Nepalese Rupee"
"CHF/NZD";"Minor";"Swiss Franc";"New Zealand Dollar"
"CHF/OMR";"Exotic-Cross";"Swiss Franc";"Omani Rial"
"CHF/PAB";"Exotic-Cross";"Swiss Franc";"Panamanian Balboa"
"CHF/PHP";"Exotic-Cross";"Swiss Franc";"Philippine Peso"
"CHF/PKR";"Exotic-Cross";"Swiss Franc";"Pakistani Rupee"
"CHF/PLN";"Exotic-Cross";"Swiss Franc";"Polish Zloty"
"CHF/QAR";"Exotic-Cross";"Swiss Franc";"Qatari Riyal"
"CHF/RON";"Exotic-Cross";"Swiss Franc";"Romanian Leu"
"CHF/RUB";"Exotic-Cross";"Swiss Franc";"Russian Ruble"
"CHF/SAR";"Exotic-Cross";"Swiss Franc";"Saudi Riyal"
"CHF/SEK";"Exotic-Cross";"Swiss Franc";"Swedish Krona"
"CHF/SGD";"Exotic-Cross";"Swiss Franc";"Singapore Dollar"
"CHF/THB";"Exotic-Cross";"Swiss Franc";"Thai Baht"
"CHF/TRY";"Exotic-Cross";"Swiss Franc";"Turkish Lira"
"CHF/TWD";"Exotic-Cross";"Swiss Franc";"Taiwan Dollar"
"CHF/UAH";"Exotic-Cross";"Swiss Franc";"Ukrainian Hryvnia"
"CHF/USD";"Major";"Swiss Franc";"US Dollar"
"CHF/VEF";"Exotic-Cross";"Swiss Franc";"Venezuelan Bolivar"
"CHF/XAF";"Exotic-Cross";"Swiss Franc";"Central African CFA franc"
